State Test English Language Arts (ELA) Results 2015 to 2017,,,,,,ELA Overall Performance Levels,,,,,,,,Reading Literary Text Subscores,,,,Reading Information Subscores,,,,Vocabulary Subscores,,,,,Writing Expression Subscores,,,,Writing Conventions Subscores,,
School ID,Year,Test Name,# Students Tested,,Overall ELA Mean Scale Score,% Did Not Meet,% Partially Met,% Approached,% Met,% Exceeded,% Met or Exceeded,Reading Mean Scale Score,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,Writing Mean Scale Score,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded
400031,2017,Combined ELA Grades 3-8,503,, ,27.2%,33.0%,22.7%,16.3%,0.8%,17.1%, ,,58.8%,21.9%,19.3%,,59.6%,20.9%,19.5%,,51.9%,22.5%,25.6%, ,,67.8%,17.9%,14.3%,,62.0%,18.9%,19.1%
400033,2017,Combined ELA Grades 3-8,811,, ,28.4%,27.9%,26.3%,17.0%,0.5%,17.5%, ,,56.7%,22.3%,21.0%,,60.0%,22.6%,17.4%,,54.9%,24.8%,20.3%, ,,61.8%,19.4%,18.9%,,57.2%,20.8%,21.9%
400035,2017,Combined ELA Grades 3-8,252,, ,17.9%,29.0%,28.6%,22.6%,2.0%,24.6%, ,,46.4%,25.8%,27.8%,,46.4%,29.4%,24.2%,,46.0%,22.2%,31.7%, ,,54.4%,21.4%,24.2%,,46.8%,27.4%,25.8%
400036,2017,Combined ELA Grades 3-8,349,, ,19.2%,22.1%,26.6%,27.5%,4.6%,32.1%, ,,35.0%,24.6%,40.4%,,42.1%,22.6%,35.2%,,39.3%,20.9%,39.8%, ,,56.4%,18.3%,25.2%,,51.0%,20.9%,28.1%
400039,2017,Combined ELA Grades 3-8,260,, ,15.4%,25.0%,32.3%,26.5%,0.8%,27.3%, ,,51.5%,23.1%,25.4%,,45.8%,31.9%,22.3%,,48.8%,26.2%,25.0%, ,,41.5%,21.5%,36.9%,,32.7%,25.0%,42.3%
400040,2017,Combined ELA Grades 3-8,266,, ,39.1%,31.6%,20.7%,8.6%,0.0%,8.6%, ,,68.0%,20.3%,11.7%,,68.8%,22.6%,8.6%,,70.3%,16.5%,13.2%, ,,75.9%,15.4%,8.6%,,74.8%,15.0%,10.2%
400043,2017,Combined ELA Grades 3-8,165,, ,27.3%,35.2%,25.5%,11.5%,0.6%,12.1%, ,,67.3%,15.2%,17.6%,,63.6%,23.6%,12.7%,,62.4%,22.4%,15.2%, ,,67.9%,18.2%,13.9%,,48.5%,29.1%,22.4%
400044,2017,Combined ELA Grades 3-8,533,, ,28.3%,26.6%,29.6%,14.3%,1.1%,15.4%, ,,56.1%,22.0%,22.0%,,57.0%,25.5%,17.4%,,59.5%,19.9%,20.6%, ,,65.5%,18.4%,16.1%,,57.6%,25.0%,17.4%
400045,2017,Combined ELA Grades 3-8,142,, ,26.1%,35.9%,30.3%,7.7%,0.0%,7.7%, ,,59.2%,28.9%,12.0%,,62.7%,24.6%,12.7%,,59.9%,22.5%,17.6%, ,,66.2%,26.8%,7.0%,,64.8%,20.4%,14.8%
400046,2017,Combined ELA Grades 3-8,353,, ,20.1%,26.6%,24.4%,25.8%,3.1%,28.9%, ,,50.1%,23.5%,26.3%,,50.4%,24.1%,25.5%,,45.9%,24.6%,29.5%, ,,48.7%,17.6%,33.7%,,45.9%,19.5%,34.6%
400047,2017,Combined ELA Grades 3-8,183,, ,26.2%,20.2%,24.6%,27.9%,1.1%,29.0%, ,,55.7%,23.5%,20.8%,,50.3%,24.0%,25.7%,,51.9%,20.8%,27.3%, ,,44.8%,16.9%,38.3%,,36.6%,18.0%,45.4%
400048,2017,Combined ELA Grades 3-8,211,, ,19.0%,25.6%,32.7%,20.9%,1.9%,22.7%, ,,46.4%,27.0%,26.5%,,47.9%,29.9%,22.3%,,48.8%,27.5%,23.7%, ,,55.0%,19.4%,25.6%,,49.8%,23.7%,26.5%
400049,2017,Combined ELA Grades 3-8,300,, ,20.7%,30.3%,31.3%,16.7%,1.0%,17.7%, ,,53.0%,25.7%,21.3%,,58.0%,24.0%,18.0%,,54.0%,26.7%,19.3%, ,,55.0%,20.7%,24.3%,,49.3%,26.7%,24.0%
400050,2017,Combined ELA Grades 3-8,309,, ,12.9%,20.1%,30.1%,33.0%,3.9%,36.9%, ,,41.4%,25.9%,32.7%,,38.2%,24.6%,37.2%,,40.8%,31.4%,27.8%, ,,35.3%,18.1%,46.6%,,35.6%,20.7%,43.7%
400052,2017,Combined ELA Grades 3-8,327,, ,17.1%,21.7%,33.0%,25.7%,2.4%,28.1%, ,,36.4%,29.4%,34.3%,,39.4%,29.4%,31.2%,,41.6%,23.5%,34.9%, ,,50.2%,24.5%,25.4%,,45.0%,31.2%,23.9%
400060,2017,Combined ELA Grades 3-8,284,, ,14.4%,20.8%,31.0%,32.0%,1.8%,33.8%, ,,41.5%,23.6%,34.9%,,37.7%,28.5%,33.8%,,38.0%,25.4%,36.6%, ,,43.0%,24.6%,32.4%,,37.7%,25.0%,37.3%
400061,2017,Combined ELA Grades 3-8,132,, ,38.6%,30.3%,21.2%,9.1%,0.8%,9.8%, ,,63.6%,22.0%,14.4%,,63.6%,19.7%,16.7%,,63.6%,20.5%,15.9%, ,,76.5%,10.6%,12.9%,,73.5%,15.2%,11.4%
400064,2017,Combined ELA Grades 3-8,151,, ,35.8%,20.5%,25.8%,17.2%,0.7%,17.9%, ,,57.0%,19.9%,23.2%,,58.9%,23.8%,17.2%,,51.0%,26.5%,22.5%, ,,62.9%,17.9%,19.2%,,60.9%,23.8%,15.2%
400066,2017,Combined ELA Grades 3-8,82,, ,23.2%,37.8%,31.7%,7.3%,0.0%,7.3%, ,,54.9%,25.6%,19.5%,,58.5%,28.0%,13.4%,,43.9%,24.4%,31.7%, ,,81.7%,8.5%,9.8%,,74.4%,14.6%,11.0%
400068,2017,Combined ELA Grades 3-8,300,, ,44.7%,28.7%,19.7%,6.7%,0.3%,7.0%, ,,71.0%,20.0%,9.0%,,70.3%,20.7%,9.0%,,72.3%,17.3%,10.3%, ,,79.3%,11.3%,9.3%,,74.7%,16.3%,9.0%
400069,2017,Combined ELA Grades 3-8,293,, ,24.6%,25.6%,31.7%,17.1%,1.0%,18.1%, ,,52.9%,25.9%,21.2%,,57.7%,24.6%,17.7%,,57.0%,21.8%,21.2%, ,,53.2%,22.5%,24.2%,,53.9%,22.9%,23.2%
400071,2017,Combined ELA Grades 3-8,284,, ,6.7%,23.6%,38.0%,30.6%,1.1%,31.7%, ,,40.8%,34.2%,25.0%,,39.8%,31.0%,29.2%,,34.9%,34.2%,31.0%, ,,37.7%,26.1%,36.3%,,26.8%,30.6%,42.6%
400075,2017,Combined ELA Grades 3-8,236,, ,19.9%,29.2%,30.9%,19.1%,0.8%,19.9%, ,,50.4%,25.8%,23.7%,,51.3%,27.5%,21.2%,,50.0%,26.3%,23.7%, ,,55.5%,24.2%,20.3%,,46.2%,23.3%,30.5%
400076,2017,Combined ELA Grades 3-8,164,, ,10.4%,11.6%,34.1%,42.1%,1.8%,43.9%, ,,35.4%,28.0%,36.6%,,30.5%,28.0%,41.5%,,33.5%,26.2%,40.2%, ,,30.5%,24.4%,45.1%,,20.1%,27.4%,52.4%
400077,2017,Combined ELA Grades 3-8,198,, ,24.7%,33.3%,33.8%,7.6%,0.5%,8.1%, ,,60.1%,24.2%,15.7%,,60.6%,25.3%,14.1%,,57.1%,19.7%,23.2%, ,,63.6%,22.7%,13.6%,,61.1%,27.8%,11.1%
400078,2017,Combined ELA Grades 3-8,286,, ,21.7%,31.8%,30.4%,15.4%,0.7%,16.1%, ,,46.5%,31.1%,22.4%,,56.6%,26.6%,16.8%,,53.1%,22.4%,24.5%, ,,64.0%,20.6%,15.4%,,62.9%,21.0%,16.1%
400079,2017,Combined ELA Grades 3-8,407,, ,12.5%,21.6%,29.2%,33.7%,2.9%,36.6%, ,,37.1%,23.8%,39.1%,,37.1%,26.0%,36.9%,,37.1%,32.9%,30.0%, ,,40.8%,22.4%,36.9%,,35.4%,25.3%,39.3%
400080,2017,Combined ELA Grades 3-8,410,, ,11.5%,20.7%,37.6%,28.3%,2.0%,30.2%, ,,37.6%,26.3%,36.1%,,36.8%,31.0%,32.2%,,37.1%,25.6%,37.3%, ,,43.9%,28.8%,27.3%,,37.1%,30.2%,32.7%
400081,2017,Combined ELA Grades 3-8,191,, ,14.7%,26.7%,30.9%,27.2%,0.5%,27.7%, ,,44.5%,26.7%,28.8%,,49.7%,23.0%,27.2%,,44.5%,27.2%,28.3%, ,,45.0%,22.0%,33.0%,,43.5%,26.7%,29.8%
400082,2017,Combined ELA Grades 3-8,372,, ,17.7%,22.6%,28.5%,29.0%,2.2%,31.2%, ,,41.4%,23.1%,35.5%,,39.2%,24.7%,36.0%,,44.9%,24.5%,30.6%, ,,51.9%,19.4%,28.8%,,48.1%,23.4%,28.5%
400083,2017,Combined ELA Grades 3-8,241,, ,24.5%,31.5%,29.9%,14.1%,0.0%,14.1%, ,,55.2%,24.1%,20.7%,,55.6%,28.2%,16.2%,,57.7%,24.5%,17.8%, ,,62.7%,22.8%,14.5%,,58.1%,26.6%,15.4%
400084,2017,Combined ELA Grades 3-8,189,, ,16.4%,22.8%,24.9%,31.2%,4.8%,36.0%, ,,42.3%,28.0%,29.6%,,43.4%,25.4%,31.2%,,47.6%,23.8%,28.6%, ,,37.6%,20.1%,42.3%,,31.7%,23.8%,44.4%
400089,2017,Combined ELA Grades 3-8,378,, ,23.5%,32.0%,29.6%,13.5%,1.3%,14.8%, ,,51.1%,25.9%,23.0%,,51.6%,26.7%,21.7%,,56.9%,24.1%,19.0%, ,,64.8%,21.2%,14.0%,,63.5%,22.5%,14.0%
400092,2017,Combined ELA Grades 3-8,200,, ,27.0%,36.5%,25.5%,11.0%,0.0%,11.0%, ,,64.0%,23.0%,13.0%,,61.0%,25.5%,13.5%,,59.0%,26.0%,15.0%, ,,66.0%,17.5%,16.5%,,63.5%,19.5%,17.0%
400096,2017,Combined ELA Grades 3-8,580,, ,16.9%,30.3%,30.2%,21.4%,1.2%,22.6%, ,,51.4%,24.5%,24.1%,,49.0%,29.0%,22.1%,,45.3%,27.1%,27.6%, ,,53.8%,21.2%,25.0%,,48.6%,23.8%,27.6%
400101,2017,Combined ELA Grades 3-8,377,, ,13.8%,25.7%,32.9%,26.3%,1.3%,27.6%, ,,40.3%,26.0%,33.7%,,37.7%,30.0%,32.4%,,40.6%,24.4%,35.0%, ,,49.3%,25.2%,25.5%,,37.7%,28.1%,34.2%
400107,2017,Combined ELA Grades 3-8,275,, ,19.3%,21.8%,24.4%,32.7%,1.8%,34.5%, ,,48.7%,21.5%,29.8%,,42.5%,28.0%,29.5%,,52.0%,25.5%,22.5%, ,,40.4%,18.9%,40.7%,,33.5%,23.3%,43.3%
400111,2017,Combined ELA Grades 3-8,371,, ,14.3%,25.9%,30.5%,28.6%,0.8%,29.4%, ,,43.7%,26.7%,29.6%,,43.7%,27.8%,28.6%,,41.5%,27.8%,30.7%, ,,47.2%,24.8%,28.0%,,41.0%,23.7%,35.3%
400112,2017,Combined ELA Grades 3-8,383,, ,10.7%,19.8%,34.7%,31.1%,3.7%,34.7%, ,,40.5%,26.9%,32.6%,,37.3%,31.9%,30.8%,,41.3%,27.2%,31.6%, ,,32.6%,20.4%,47.0%,,29.5%,23.2%,47.3%
400114,2017,Combined ELA Grades 3-8,188,, ,12.2%,26.6%,33.0%,27.1%,1.1%,28.2%, ,,42.0%,31.4%,26.6%,,41.5%,30.3%,28.2%,,43.1%,26.6%,30.3%, ,,42.0%,18.6%,39.4%,,41.5%,23.4%,35.1%
400115,2017,Combined ELA Grades 3-8,359,, ,18.1%,32.6%,30.9%,17.8%,0.6%,18.4%, ,,48.5%,28.1%,23.4%,,53.2%,24.0%,22.8%,,53.2%,20.9%,25.9%, ,,57.1%,24.0%,18.9%,,56.8%,25.3%,17.8%
400116,2017,Combined ELA Grades 3-8,113,, ,61.1%,25.7%,10.6%,1.8%,0.9%,2.7%, ,,84.1%,11.5%,4.4%,,80.5%,14.2%,5.3%,,78.8%,15.0%,6.2%, ,,89.4%,8.0%,2.7%,,77.9%,16.8%,5.3%
400120,2017,Combined ELA Grades 3-8,378,, ,22.5%,31.5%,31.2%,14.0%,0.8%,14.8%, ,,56.6%,23.5%,19.8%,,59.0%,24.3%,16.7%,,54.8%,25.7%,19.6%, ,,57.7%,21.2%,21.2%,,52.1%,23.3%,24.6%
400121,2017,Combined ELA Grades 3-8,353,, ,24.4%,31.2%,26.3%,17.0%,1.1%,18.1%, ,,53.3%,24.9%,21.8%,,53.8%,21.8%,24.4%,,54.1%,20.7%,25.2%, ,,63.2%,20.4%,16.4%,,58.9%,22.1%,19.0%
400146,2017,Combined ELA Grades 3-8,299,, ,19.4%,32.4%,32.4%,13.7%,2.0%,15.7%, ,,48.5%,32.8%,18.7%,,55.5%,28.1%,16.4%,,54.2%,18.7%,27.1%, ,,52.5%,25.8%,21.7%,,56.9%,27.8%,15.4%
400151,2017,Combined ELA Grades 3-8,186,, ,21.5%,30.6%,29.0%,17.7%,1.1%,18.8%, ,,51.6%,29.6%,18.8%,,55.9%,24.7%,19.4%,,50.0%,25.8%,24.2%, ,,58.6%,23.1%,18.3%,,58.1%,20.4%,21.5%
400153,2017,Combined ELA Grades 3-8,376,, ,17.0%,28.2%,29.5%,23.9%,1.3%,25.3%, ,,45.5%,26.9%,27.7%,,46.0%,25.8%,28.2%,,51.1%,20.2%,28.7%, ,,52.7%,22.6%,24.7%,,44.1%,24.5%,31.4%
400159,2017,Combined ELA Grades 3-8,103,, ,16.5%,6.8%,28.2%,43.7%,4.9%,48.5%, ,,39.8%,18.4%,41.7%,,33.0%,33.0%,34.0%,,39.8%,29.1%,31.1%, ,,26.2%,16.5%,57.3%,,20.4%,9.7%,69.9%
400161,2017,Combined ELA Grades 3-8,292,, ,30.1%,28.8%,27.4%,13.4%,0.3%,13.7%, ,,53.8%,26.4%,19.9%,,58.2%,22.3%,19.5%,,53.8%,20.2%,26.0%, ,,73.6%,17.1%,9.2%,,75.7%,16.1%,8.2%
400162,2017,Combined ELA Grades 3-8,327,, ,22.9%,25.7%,25.7%,24.5%,1.2%,25.7%, ,,46.8%,23.5%,29.7%,,49.8%,25.7%,24.5%,,50.2%,22.9%,26.9%, ,,51.7%,23.5%,24.8%,,44.6%,29.7%,25.7%
400163,2017,Combined ELA Grades 3-8,303,, ,37.0%,29.0%,22.4%,11.2%,0.3%,11.6%, ,,60.1%,21.5%,18.5%,,62.0%,23.8%,14.2%,,57.4%,21.5%,21.1%, ,,76.6%,15.2%,8.3%,,76.9%,15.8%,7.3%
400165,2017,Combined ELA Grades 3-8,269,, ,28.3%,34.2%,26.4%,10.8%,0.4%,11.2%, ,,58.4%,23.8%,17.8%,,63.6%,22.7%,13.8%,,61.3%,23.0%,15.6%, ,,66.2%,19.7%,14.1%,,65.1%,23.4%,11.5%
400167,2017,Combined ELA Grades 3-8,331,, ,19.6%,23.3%,31.4%,22.7%,3.0%,25.7%, ,,52.9%,21.1%,26.0%,,48.9%,27.8%,23.3%,,51.7%,23.9%,24.5%, ,,45.3%,22.7%,32.0%,,43.2%,23.9%,32.9%
400168,2017,Combined ELA Grades 3-8,38,, ,5.3%,15.8%,31.6%,44.7%,2.6%,47.4%, ,,26.3%,34.2%,39.5%,,23.7%,26.3%,50.0%,,34.2%,13.2%,52.6%, ,,31.6%,23.7%,44.7%,,34.2%,18.4%,47.4%
400171,2017,Combined ELA Grades 3-8,143,, ,31.5%,34.3%,22.4%,11.9%,0.0%,11.9%, ,,60.1%,20.3%,19.6%,,59.4%,24.5%,16.1%,,61.5%,16.8%,21.7%, ,,67.1%,21.0%,11.9%,,67.1%,21.0%,11.9%
400180,2017,Combined ELA Grades 3-8,87,, ,20.7%,42.5%,20.7%,16.1%,0.0%,16.1%, ,,55.2%,27.6%,17.2%,,55.2%,20.7%,24.1%,,63.2%,18.4%,18.4%, ,,75.9%,10.3%,13.8%,,72.4%,17.2%,10.3%
609716,2017,Combined ELA Grades 3-8,121,, ,56.2%,28.9%,10.7%,3.3%,0.8%,4.1%, ,,79.3%,15.7%,5.0%,,76.9%,14.0%,9.1%,,79.3%,12.4%,8.3%, ,,84.3%,9.9%,5.8%,,80.2%,13.2%,6.6%
609720,2017,Combined ELA Grades 3-8,156,, ,1.3%,0.0%,9.6%,50.0%,39.1%,89.1%, ,,1.9%,9.0%,89.1%,,1.3%,3.8%,94.9%,,1.9%,3.8%,94.2%, ,,13.5%,14.1%,72.4%,,10.9%,14.1%,75.0%
609725,2017,Combined ELA Grades 3-8,105,, ,3.8%,10.5%,41.9%,41.9%,1.9%,43.8%, ,,20.0%,33.3%,46.7%,,20.0%,36.2%,43.8%,,19.0%,33.3%,47.6%, ,,27.6%,26.7%,45.7%,,26.7%,36.2%,37.1%
609726,2017,Combined ELA Grades 3-8,52,, ,3.8%,11.5%,36.5%,38.5%,9.6%,48.1%, ,,17.3%,23.1%,59.6%,,13.5%,40.4%,46.2%,,15.4%,28.8%,55.8%, ,,40.4%,21.2%,38.5%,,25.0%,34.6%,40.4%
609728,2017,Combined ELA Grades 3-8,75,, ,20.0%,28.0%,25.3%,25.3%,1.3%,26.7%, ,,46.7%,28.0%,25.3%,,45.3%,33.3%,21.3%,,53.3%,28.0%,18.7%, ,,48.0%,25.3%,26.7%,,42.7%,26.7%,30.7%
609734,2017,Combined ELA Grades 3-8,120,, ,3.3%,5.0%,18.3%,51.7%,21.7%,73.3%, ,,14.2%,23.3%,62.5%,,11.7%,15.8%,72.5%,,13.3%,15.8%,70.8%, ,,17.5%,17.5%,65.0%,,15.8%,19.2%,65.0%
609746,2017,Combined ELA Grades 3-8,186,, ,11.3%,9.7%,29.0%,40.3%,9.7%,50.0%, ,,27.4%,24.2%,48.4%,,21.5%,24.2%,54.3%,,24.2%,17.2%,58.6%, ,,33.3%,25.3%,41.4%,,32.3%,26.3%,41.4%
609755,2017,Combined ELA Grades 3-8,231,, ,0.4%,0.4%,6.9%,46.3%,45.9%,92.2%, ,,2.6%,5.6%,91.8%,,0.9%,5.2%,93.9%,,2.2%,5.6%,92.2%, ,,9.5%,7.4%,83.1%,,6.1%,9.5%,84.4%
609772,2017,Combined ELA Grades 3-8,494,, ,11.1%,23.9%,30.0%,32.8%,2.2%,35.0%, ,,36.0%,28.7%,35.2%,,38.9%,29.6%,31.6%,,41.5%,26.3%,32.2%, ,,39.5%,22.5%,38.1%,,31.8%,27.5%,40.7%
609773,2017,Combined ELA Grades 3-8,270,, ,13.3%,15.2%,27.0%,35.2%,9.3%,44.4%, ,,33.3%,22.6%,44.1%,,31.5%,24.4%,44.1%,,31.1%,20.4%,48.5%, ,,38.9%,22.2%,38.9%,,35.2%,24.8%,40.0%
609774,2017,Combined ELA Grades 3-8,251,, ,3.6%,8.0%,21.1%,55.4%,12.0%,67.3%, ,,16.3%,23.1%,60.6%,,14.3%,20.7%,64.9%,,15.5%,22.3%,62.2%, ,,19.1%,22.3%,58.6%,,16.7%,22.3%,61.0%
609777,2017,Combined ELA Grades 3-8,168,, ,13.1%,19.6%,26.2%,36.9%,4.2%,41.1%, ,,43.5%,24.4%,32.1%,,46.4%,23.8%,29.8%,,57.7%,18.5%,23.8%, ,,27.4%,13.1%,59.5%,,27.4%,18.5%,54.2%
609779,2017,Combined ELA Grades 3-8,876,, ,16.2%,20.5%,26.6%,29.2%,7.4%,36.6%, ,,41.3%,23.7%,34.9%,,39.7%,25.7%,34.6%,,45.9%,21.9%,32.2%, ,,40.5%,18.0%,41.4%,,35.0%,20.1%,44.9%
609780,2017,Combined ELA Grades 3-8,279,, ,30.8%,35.5%,23.7%,10.0%,0.0%,10.0%, ,,61.3%,20.4%,18.3%,,62.4%,25.8%,11.8%,,59.9%,19.4%,20.8%, ,,70.3%,20.1%,9.7%,,66.3%,20.1%,13.6%
609782,2017,Combined ELA Grades 3-8,257,, ,7.0%,16.3%,28.0%,40.9%,7.8%,48.6%, ,,24.5%,24.9%,50.6%,,22.6%,28.0%,49.4%,,22.2%,20.2%,57.6%, ,,39.7%,22.2%,38.1%,,33.1%,24.1%,42.8%
609786,2017,Combined ELA Grades 3-8,163,, ,33.1%,33.7%,20.9%,11.7%,0.6%,12.3%, ,,58.9%,25.8%,15.3%,,66.9%,21.5%,11.7%,,62.0%,18.4%,19.6%, ,,67.5%,18.4%,14.1%,,67.5%,18.4%,14.1%
609788,2017,Combined ELA Grades 3-8,189,, ,15.3%,27.0%,34.4%,22.2%,1.1%,23.3%, ,,48.1%,23.8%,28.0%,,48.7%,29.6%,21.7%,,45.5%,27.0%,27.5%, ,,43.4%,28.0%,28.6%,,39.7%,28.6%,31.7%
609789,2017,Combined ELA Grades 3-8,384,, ,26.6%,34.1%,26.0%,13.0%,0.3%,13.3%, ,,59.1%,24.5%,16.4%,,55.2%,27.3%,17.4%,,59.4%,21.6%,19.0%, ,,68.5%,19.0%,12.5%,,64.6%,19.3%,16.1%
609790,2017,Combined ELA Grades 3-8,268,, ,33.2%,31.3%,24.3%,11.2%,0.0%,11.2%, ,,64.9%,21.3%,13.8%,,67.5%,23.1%,9.3%,,63.8%,19.4%,16.8%, ,,61.6%,22.4%,16.0%,,63.1%,19.8%,17.2%
609791,2017,Combined ELA Grades 3-8,246,, ,39.4%,33.7%,19.5%,6.9%,0.4%,7.3%, ,,69.1%,19.9%,11.0%,,72.0%,17.5%,10.6%,,69.9%,17.9%,12.2%, ,,70.7%,19.1%,10.2%,,71.1%,19.5%,9.3%
609792,2017,Combined ELA Grades 3-8,605,, ,22.1%,23.0%,25.6%,24.1%,5.1%,29.3%, ,,48.6%,21.5%,29.9%,,46.3%,25.5%,28.3%,,50.7%,21.0%,28.3%, ,,50.2%,19.5%,30.2%,,43.1%,21.7%,35.2%
609793,2017,Combined ELA Grades 3-8,303,, ,41.3%,27.7%,23.8%,6.6%,0.7%,7.3%, ,,67.3%,19.5%,13.2%,,68.0%,20.5%,11.6%,,66.3%,18.5%,15.2%, ,,73.9%,19.1%,6.9%,,69.6%,20.8%,9.6%
609794,2017,Combined ELA Grades 3-8,185,, ,0.0%,0.0%,5.4%,52.4%,42.2%,94.6%, ,,2.2%,8.1%,89.7%,,1.6%,6.5%,91.9%,,3.2%,4.3%,92.4%, ,,3.2%,8.6%,88.1%,,1.6%,10.8%,87.6%
609795,2017,Combined ELA Grades 3-8,148,, ,16.9%,20.3%,29.7%,31.1%,2.0%,33.1%, ,,39.9%,30.4%,29.7%,,43.2%,22.3%,34.5%,,35.1%,27.7%,37.2%, ,,39.9%,22.3%,37.8%,,37.2%,21.6%,41.2%
609796,2017,Combined ELA Grades 3-8,701,, ,6.6%,8.8%,19.8%,50.5%,14.3%,64.8%, ,,19.7%,19.4%,60.9%,,20.3%,18.5%,61.2%,,19.1%,17.3%,63.6%, ,,22.1%,17.3%,60.6%,,18.7%,19.5%,61.8%
609797,2017,Combined ELA Grades 3-8,270,, ,30.0%,35.9%,24.1%,10.0%,0.0%,10.0%, ,,63.0%,25.6%,11.5%,,67.8%,22.2%,10.0%,,66.7%,19.6%,13.7%, ,,63.0%,23.3%,13.7%,,55.6%,23.3%,21.1%
609798,2017,Combined ELA Grades 3-8,74,, ,16.2%,17.6%,29.7%,33.8%,2.7%,36.5%, ,,36.5%,25.7%,37.8%,,39.2%,21.6%,39.2%,,33.8%,33.8%,32.4%, ,,51.4%,23.0%,25.7%,,36.5%,25.7%,37.8%
609799,2017,Combined ELA Grades 3-8,568,, ,6.7%,7.2%,17.4%,54.6%,14.1%,68.7%, ,,17.1%,19.0%,63.9%,,17.1%,13.7%,69.2%,,17.3%,15.0%,67.8%, ,,22.4%,18.7%,59.0%,,17.4%,19.4%,63.2%
